stage,goal,C1,C2,n_seeds,seeds,training_objective_mean,training_objective_sd,canonical_reward_mean,canonical_reward_sd,kappa_mean,kappa_sd,bilateral_margin_mean,bilateral_margin_sd,normalized_thickness_mean,normalized_thickness_sd,selected_episode_mean,selected_episode_sd,training_final100_mean,training_final100_sd,training_mean1500_mean,training_mean1500_sd,training_early300_mean_mean,training_early300_mean_sd,peak_success_mean,peak_success_sd
C2,5,0.5,0.0,5,0;1;2;3;4,0.8575911521911621,0.008346509782484187,0.8402128103647666,0.018500363599194644,1.1825099593323538,0.002414299866498261,0.7548317909240723,0.06374383251522224,0.5211780824512243,0.029314419957738824,1320.0,57.0087712549569,0.8462621293067931,0.007276429724509039,0.7477227399508158,0.006748156652255363,0.4625353638331095,0.004426770912261607,1.0,0.0
C2,5,0.5,0.25,5,0;1;2;3;4,1.4685275146134895,0.010386251652754886,1.0757761891956712,0.011524239181226139,1.1788416414050857,0.003458501834808423,0.8149948120117188,0.019219578858451436,0.27725927201410133,0.01284245978193278,1350.0,182.8592354790974,1.4371766316890717,0.00865982442455858,1.2743450966874759,0.005895017045304361,0.7892460849086443,0.009129564866555072,1.0,0.0
C2,5,0.5,0.5,5,0;1;2;3;4,1.3305693697771375,0.01165626353512518,1.1224199016802696,0.007585589023902226,1.1723793184705524,0.0029271727520589824,0.7977241516113281,0.014120560314241255,0.22768048574527106,0.006345598898576921,1280.0,303.8297220483868,1.2890524573326112,0.008574351354283492,1.1283379971027374,0.007246311410231214,0.6489940745433171,0.00857707443995473,1.0,0.0
C2,5,0.5,0.75,5,0;1;2;3;4,1.2251312927025992,0.008863424326593714,1.1373230500884095,0.008914010819810636,1.1670692265959774,0.0016782809152993518,0.7693816184997558,0.014719603933118185,0.2010101221005122,0.006173237773582992,970.0,322.7808854315881,1.1796430473327635,0.007770333601917809,1.020118507595857,0.0071955902408342666,0.5504340022206307,0.007388739695114084,1.0,0.0
C2,5,0.5,1.0,5,0;1;2;3;4,1.1440146838095497,0.008575492333510466,1.1440146838095497,0.008575492333510466,1.1595389846086541,0.0008557164701423585,0.7444209098815918,0.022159689864634742,0.16808088631679613,0.0054279335799963455,1120.0,258.2392301723346,1.0964756593704224,0.007901741264928971,0.9371892529805501,0.007939826039124265,0.47707911032438277,0.007138436472742347,1.0,0.0
C2,6,0.5,0.0,5,0;1;2;3;4,0.7480988025665283,0.016072437244492952,0.7575917970599175,0.020246348962929303,1.1604513480761156,0.004219749052722469,0.2709328651428223,0.033553471578484734,0.48763539622848234,0.012859787912969932,1395.0,97.46794344808964,0.7318931381702424,0.013167241216884056,0.6288227693080902,0.010596763652571742,0.32733779899279275,0.002528459789433199,1.0,0.0
C2,6,0.5,0.25,5,0;1;2;3;4,1.2388931965781818,0.02555237155007485,0.8582269518503465,0.018835445828651223,1.1550096176613496,0.0037266138929901503,0.2724915504455566,0.04689539060950631,0.34727571076403063,0.01963209212609894,1355.0,106.6536450385077,1.2080604145526885,0.01901559987887891,1.0558974197357893,0.01988427971980412,0.5711640941550333,0.007783613852011729,1.0,0.0
C2,6,0.5,0.5,5,0;1;2;3;4,1.0977676154026341,0.009335674541278075,0.8995357236946692,0.013932507395353734,1.1510174980420511,0.004077232206542863,0.2453639030456543,0.04094386856448593,0.2836788375303149,0.03253465184034999,1275.0,259.8076211353316,1.0644138858318328,0.00634279772865403,0.9164180607716241,0.010904893200927029,0.46368012074629467,0.0070046672720693705,1.0,0.0
C2,6,0.5,0.75,5,0;1;2;3;4,1.0010733059435284,0.011674321697076617,0.9217398386055595,0.015561018636090038,1.145624518742445,0.0019057213380075124,0.18981409072875977,0.04311564266614917,0.23280844800174236,0.022794313209978594,1265.0,250.37471917108564,0.9649192614555359,0.008798816593057575,0.8196866083174944,0.007942734175946443,0.38930765741566814,0.0062028531511800706,1.0,0.0
C2,6,0.5,1.0,5,0;1;2;3;4,0.9306390107245937,0.011403600135811475,0.9306390107245937,0.011403600135811475,1.1421336474914638,0.0016046472839522158,0.15556097030639648,0.04998845971507805,0.20541403487324716,0.012398317042329408,1255.0,232.7820869396956,0.8911443288326264,0.009853150361389215,0.7473863120799263,0.008960276368754457,0.3350026855096221,0.005367716652887051,1.0,0.0
C2,7,0.5,0.0,5,0;1;2;3;4,0.541489052772522,0.01461442087236005,0.5353556726478355,0.015946281897268662,1.1294432261429184,0.003149357764594572,-0.32709379196166993,0.03008994969653481,0.5117018649556364,0.02095715732592728,1395.0,173.5655495770978,0.5266630852222443,0.014699217351776902,0.4254190406958262,0.011588334678625615,0.12301605391502379,0.002729757616649874,0.0,0.0
C2,7,0.5,0.25,5,0;1;2;3;4,0.8864634265063138,0.024053140105965216,0.5862029823186987,0.01714403815250793,1.1284599592766384,0.002980129384486608,-0.3291483879089355,0.06081299711207028,0.41195985502563415,0.013171564127712624,1435.0,80.23403267940606,0.8582471389770507,0.022832718985692998,0.7113112069538905,0.018687379294316936,0.24154193510198335,0.0056758117136911325,0.0,0.0
C2,7,0.5,0.5,5,0;1;2;3;4,0.7679837696597147,0.017030356218888938,0.6059458199108988,0.010401643430154527,1.1263764332008206,0.00402696581744549,-0.3274258613586426,0.0793172317615237,0.36521374210715296,0.021908965361142892,1350.0,110.39701082909808,0.7401433339118958,0.01647243673952608,0.6032582819167602,0.013698052646160959,0.186775473596567,0.004260221925964875,0.0,0.0
C2,7,0.5,0.75,5,0;1;2;3;4,0.6821167462060901,0.012807424982732745,0.614367778824268,0.010272526097317145,1.1240406206929152,0.003518283790074216,-0.3606879234313965,0.09015929081232048,0.3297831569984555,0.019650208807827987,1420.0,81.77713616898063,0.6575515315532684,0.01318638267388594,0.5276852657497499,0.011113652865937226,0.15005509862332247,0.003652373974372331,0.0,0.0
C2,7,0.5,1.0,5,0;1;2;3;4,0.6198086155628912,0.010423024879113387,0.6198086155628912,0.010423024879113387,1.1217651543625289,0.0035147531549695036,-0.3982752799987793,0.06620984734453816,0.2991709585487842,0.014004597974320876,1370.0,129.18010682763813,0.5952064199447632,0.011364843836763025,0.47092849995582364,0.007615639382165061,0.12482533409267975,0.00342743136563615,0.0,0.0
