stage,response_source,goal,C1,C2,n,kappa_mean,kappa_sd,normalized_mean_thickness_mean,normalized_mean_thickness_sd,bilateral_margin_mm_mean,bilateral_margin_mm_sd,global_margin_mm_mean,global_margin_mm_sd,coefficient_reward_mean,coefficient_reward_sd,canonical_reward_mean,canonical_reward_sd
C1,FEA,5,0.1,0.0,5,1.1624288652053096,0.0032684196075599315,0.5537269027282794,0.040484967411537356,0.7460646611413789,0.0438042135864738,0.7460646611413789,0.0438042135864738,4.802420635443322,0.010147197495165901,0.7698859605748932,0.026992805300529686
C1,FEA,6,0.1,0.0,5,1.1450608798757362,0.0011369681731527323,0.5178758336417377,0.012720230445075536,0.3433731065670839,0.020181514013052557,0.3433731065670839,0.020181514013052557,4.572675426209134,0.013842783979357414,0.6896071921836288,0.007473846847018302
C1,FEA,7,0.1,0.0,5,1.1196686959997018,0.0018701369217710758,0.5304366716121633,0.018252969239245357,-0.23096663142298618,0.0325549053096753,-0.23096663142298618,0.0325549053096753,4.020533947324093,0.010016826698433576,0.5077423000769524,0.005472296317506512
C1,FEA,5,0.2,0.0,5,1.1667271174558276,0.001835693175468692,0.5528078550845384,0.046824392150674035,0.7941205603743275,0.038118575036374586,0.7941205603743275,0.038118575036374586,3.7957272907584176,0.006313333135121603,0.7853134021879268,0.03786781659373646
C1,FEA,6,0.2,0.0,5,1.148217596959442,0.0014439662864882876,0.5096885075571481,0.021023476412602007,0.3325431280189287,0.01499049364383966,0.3325431280189287,0.01499049364383966,3.60729781986152,0.006166696219877189,0.7079056328783422,0.012109815005017472
C1,FEA,7,0.2,0.0,5,1.1224961637182902,0.0013030321991707146,0.5242636214693387,0.017824923633047933,-0.2149259331329107,0.022982434761587973,-0.2149259331329107,0.022982434761587973,3.1500863393477165,0.0061776956496962104,0.5215052505850898,0.006692695370776525
C1,FEA,5,0.3,0.0,5,1.1703500201939303,0.0016172799120014914,0.5201069183088839,0.04557951333496376,0.8172531957098329,0.01572164208691155,0.8172531957098329,0.01572164208691155,2.806408046995214,0.01131918593893148,0.8228056420280416,0.03169618831994418
C1,FEA,6,0.3,0.0,5,1.1511773865355068,0.0012133046739692746,0.5003595000163963,0.01592954033536506,0.31118318872963613,0.007919543770287401,0.31118318872963613,0.007919543770287401,2.64289814175518,0.005706641956620731,0.7247962924317614,0.013854200675133405
C1,FEA,7,0.3,0.0,5,1.1257409862090262,0.0006737001110205529,0.5208752773112307,0.017301253051281038,-0.21305260686542304,0.009959120229518866,-0.21305260686542304,0.009959120229518866,2.2785254156172727,0.0025654481035591596,0.5339218561445228,0.008746531134275447
C1,FEA,5,0.4,0.0,5,1.1763331410474311,0.003480248014639229,0.5432986729002247,0.03734284446640987,0.8125705411202603,0.05511200584113894,0.8125705411202603,0.05511200584113894,1.8232149890436544,0.009322661650642522,0.8195322433281624,0.02860461106988635
C1,FEA,6,0.4,0.0,5,1.153815433236743,0.0024961964516507854,0.49058380947758756,0.024721242443080705,0.3054375204044515,0.010757319178428813,0.3054375204044515,0.010757319178428813,1.6883262848044356,0.005907184763428203,0.7413264615473107,0.021717295979950216
C1,FEA,7,0.4,0.0,5,1.1316222994560143,0.0005336627649871053,0.5206581938142578,0.013647167707745324,-0.2501528361410198,0.01898103593780675,-0.2501528361410198,0.01898103593780675,1.415058918220053,0.0017854067750374535,0.5503470142920849,0.007031436918351043
C1,FEA,5,0.5,0.0,5,1.1879505744921526,0.0020817798397830063,0.5211780824512243,0.029314419957738824,0.7824864824045111,0.07319735041200867,0.7824864824045111,0.07319735041200867,0.8801032341316584,0.00952659059674019,0.8625482278689965,0.031103344193125167
C1,FEA,6,0.5,0.0,5,1.1630217087020531,0.004802649765374084,0.48763539622848234,0.012859787912969932,0.28488469777514835,0.026337944691620235,0.28488469777514835,0.026337944691620235,0.7584984292310191,0.011704417658640033,0.7680151648092619,0.009030164157072649
C1,FEA,7,0.5,0.0,5,1.1378689703393239,0.0018781088129116166,0.5117018649556364,0.02095715732592728,-0.2910406563913751,0.010844572600066965,-0.2910406563913751,0.010844572600066965,0.5736340114902783,0.005524786123790926,0.5672096216598284,0.01380229298179255
